iter	Passed	Remaining
0	6	6693
1	8	4176
2	9	3262
3	13	3257
4	15	3081
5	17	2913
6	19	2712
7	20	2555
8	22	2427
9	24	2434
10	27	2434
11	31	2599
12	33	2539
13	35	2471
14	36	2397
15	37	2322
16	39	2260
17	40	2203
18	43	2248
19	46	2292
20	48	2275
21	50	2232
22	51	2202
23	53	2180
24	55	2161
25	58	2191
26	60	2193
27	62	2184
28	64	2160
29	65	2132
30	67	2106
31	78	2375
32	80	2346
33	81	2312
34	82	2283
35	87	2341
36	90	2354
37	93	2370
38	95	2344
39	96	2316
40	99	2322
41	107	2453
42	109	2434
43	110	2407
44	112	2392
45	115	2401
46	119	2413
47	122	2421
48	123	2403
49	125	2379
50	126	2361
51	129	2361
52	132	2369
53	135	2365
54	137	2359
55	138	2341
56	142	2357
57	144	2348
58	148	2362
59	151	2369
60	152	2348
61	154	2335
62	156	2328
63	161	2359
64	162	2343
65	166	2352
66	170	2377
67	172	2362
68	173	2343
69	177	2353
70	181	2378
71	184	2379
72	185	2361
73	187	2343
74	188	2327
75	194	2370
76	198	2378
77	199	2363
78	201	2347
79	202	2333
80	205	2336
81	208	2337
82	211	2337
83	213	2329
84	215	2314
85	216	2301
86	227	2391
87	229	2377
88	230	2364
89	233	2356
90	234	2342
91	238	2357
92	242	2363
93	243	2348
94	245	2336
95	246	2325
96	248	2316
97	257	2366
98	260	2368
99	262	2366
100	268	2385
101	275	2423
102	277	2420
103	279	2408
104	285	2436
105	288	2432
106	290	2426
107	292	2414
108	293	2400
109	295	2389
110	299	2396
111	302	2397
112	304	2392
113	306	2380
114	307	2367
115	309	2359
116	320	2415
117	322	2412
118	324	2399
119	326	2394
120	329	2396
121	332	2392
122	334	2388
123	336	2378
124	338	2366
125	340	2360
126	341	2349
127	345	2352
128	348	2354
129	350	2346
130	352	2336
131	353	2325
132	355	2315
133	356	2303
134	357	2292
135	360	2288
136	362	2283
137	363	2272
138	365	2261
139	366	2252
140	368	2243
141	369	2230
142	370	2221
143	371	2211
144	374	2210
145	376	2204
146	378	2196
147	380	2188
148	381	2179
149	383	2170
150	384	2161
151	385	2151
152	389	2154
153	391	2153
154	393	2146
155	395	2140
156	398	2138
157	399	2129
158	401	2121
159	405	2126
160	406	2119
161	408	2111
162	410	2108
163	412	2100
164	413	2092
165	415	2086
166	419	2092
167	421	2089
168	424	2087
169	426	2082
170	427	2074
171	429	2067
172	431	2063
173	437	2075
174	439	2072
175	440	2064
176	442	2057
177	444	2054
178	446	2046
179	455	2075
180	457	2069
181	459	2065
182	461	2062
183	466	2069
184	469	2066
185	471	2062
186	472	2054
187	473	2046
188	475	2040
189	477	2034
190	483	2048
191	486	2048
192	488	2042
193	490	2037
194	492	2034
195	495	2034
196	497	2029
197	500	2027
